Unnamed: 0,GRAPES,Unnamed: 2
ATH,AUTUMN ROYAL/THOMPSON SEEDLESS,GRAPES
ASL,AUTUMN ROYAL/THOMPSON SEEDLESS/ SUNRED SEEDLESS,GRAPES
CTA,AUTUMN ROYAL/THOMPSON SEEDLESS/CRIMSON SEEDLESS,GRAPES
BAR,BARLINKA,GRAPES
DBM,BARLINKA/DAUPHINE,GRAPES
BEL,BELLEVUE,GRAPES
BID,BIEN DONNÉ,GRAPES
BEM,BLACK EMPEROR ,GRAPES
BGM,BLACK GEM,GRAPES
BKO,BLACK ONYX,GRAPES
BLV,BLACK VELVET ,GRAPES
BVE,BLACK VELVET/IFG TEN (SWEET GLOBE™),GRAPES
BVG,BLACK VELVET/SUGRAONE,GRAPES
BG2,BLAGRATWO,GRAPES
MLY,BLAGRATWO (MELODY™),GRAPES
PMY,BLAGRATWO (MELODY™)/PRIME,GRAPES
YMS,BLAGRATWO (MELODY™)/SUGRAONE,GRAPES
BLK,BLAKKR,GRAPES
BNH,BONHEUR,GRAPES
BNT,BONITA,GRAPES
CAC,CARMINE CRUNCH,GRAPES
CSE,CENTENNIAL,GRAPES
CES,CERISE ,GRAPES
CNO,CRIMSON NOIR,GRAPES
CNI,CRIMSON NOIR/IFG TEN (SWEET GLOBE™),GRAPES
CSS,CRIMSON SEEDLESS,GRAPES
FCS,CRIMSON SEEDLESS/FLAME SEEDLESS,GRAPES
CSN,CRIMSON SEEDLESS/SHEEGENE 2 (TIMPSON™),GRAPES
CDI,CRIMSON SEEDLESS/SHEEGENE 21 (IVORY™),GRAPES
CSX,CRIMSON SEEDLESS/SUGRATHIRTEEN,GRAPES
CSF,CRIMSON SEEDLESS/SUGRATHIRTYFIVE,GRAPES
CSU,CRIMSON SEEDLESS/SUGRATWELVE,GRAPES
DBH,DAN BEN HANNAH,GRAPES
DAT,DATAL,GRAPES
DAU,DAUPHINE,GRAPES
DAS,DAUPHINE/SUGRANINETEEN,GRAPES
DSE,DAWN,GRAPES
DSS,DESERT ,GRAPES
DRS,DESERT/REGAL SEEDLESS,GRAPES
DDW,DESERT DAWN,GRAPES
DDS,DESERT DAWN/SUGRAONE,GRAPES
DFM,DESERT/FLAME SEEDLESS /PRIME ,GRAPES
DSM,DESERT/SUNDANCE SEEDLESS,GRAPES
DSR,DESIRE ,GRAPES
EST,EBONY STAR,GRAPES
EPS,ECLIPSE SEEDLESS,GRAPES
ERL,ERLIHANE,GRAPES
EDL,EVANS DELIGHT,GRAPES
IFP,EVANS DELIGHT / ARRATHIRTY (ARRA SUGAR DROP™) ,GRAPES
EAT,EVANS DELIGHT/ARRATHIRTYTHREE (ARRA HONEY POP™),GRAPES
EDT,EVANS DELIGHT/IFG TEN,GRAPES
EDI,EVANS DELIGHT / IFG TEN (SWEET GLOBE™),GRAPES
EPV,EVANS DELIGHT/ PRIME,GRAPES
EDS,EVANS DELIGHT/ SUGRAONE,GRAPES
ESP,EVANS DELIGHT/SUGRAONE (SUPERIOR SEEDLESS®),gRAPES
EVD,EVANS DELIGHT/GRAPAES (EARLY SWEET™),GRAPES
ETS,EVANS DELIGHT/THOMPSON SEEDLESS,GRAPES
EVP,EVENING PEARL,GRAPES
EXO,EXOTIC PEARL,GRAPES
FMS,FLAME SEEDLESS,GRAPES
FDR,FLAME SEEDLESS/DESERT/REGAL SEEDLESS,GRAPES
FDS,FLAME SEEDLESS/DESERT/SUGRAONE,GRAPES
FES,FLAME SEEDLESS/GRAPAES (EARLY SWEET™),GRAPES
FLI,FLAME SEEDLESS/IFG TEN (SWEET GLOBE™),GRAPES
FS3,FLAME SEEDLESS/SUGRATHIRTEEN,GRAPES
GAL,GALAXY,GRAPES
GHI,GOLDEN HILL,GRAPES
GRP,GRAPAES,GRAPES
GIF,GRAPAES/IFG 68-175 (SWEET SURRENDER™),GRAPES
GIE,GRAPAES/IFG 31-077 (SWEET SURRENDER™),GRAPES
EFS,GRAPAES/FLAME SEEDLESS,GRAPES
MRV,GRAPAES/RALLI SEEDLESS,GRAPES
G12,GRAPAES/SHEEGENE 12(KRISSY™),GRAPES
GSL,GRAPAES/STARLIGHT,GRAPES
GSH,GRAPAES/SUGRATHIRTEEN ,GRAPES
ELS ,GRAPAES (EARLY SWEET™),GRAPES
BLW,GRAPAES(EARLY SWEET™)/ARRAFOURTEENONE(ARRA MYSTIC BLOOM™),GRAPES
TEG,GRAPAES(EARLY SWEET™)/ARRATEN,GRAPES
GEC,GRAPAES(EARLY SWEET™)/CRIMSON SEEDLESS,GRAPES
GED,GRAPAES(EARLY SWEET™)/DESERT DAWN,GRAPES
GEI,GRAPAES(EARLY SWEET™)/IFG 31-077 (SWEET SURRENDER™),GRAPES
GSI,GRAPAES(EARLY SWEET™)/IFG 68-175 (SWEET CELEBRATION™),GRAPES
GSJ,GRAPAES(EARLY SWEET™)/IFG NINE (JACK'S SALUTE™),GRAPES
GSA,GRAPAES(EARLY SWEET™)/RALLI SEEDLESS,GRAPES
GSK,GRAPAES(EARLY SWEET™)/SHEEGENE 12(KRISSY™),GRAPES
GTA,GRAPAES(EARLY SWEET™)/SHEEGENE 3(MAGENTA™),GRAPES
GTH,GRAPAES(EARLY SWEET™)/SUGRATHIRTEEN,GRAPES
UGE,GRAPAES (EARLY SWEET™)/SUGRASIXTEEN(SABLE SEEDLESS®),GRAPES
GES,GRAPAES (EARLY SWEET™)/TAWNY SEEDLESS,GRAPES
HEL,HELENA,GRAPES
HAT,HELENA/AUTUMN ROYAL,GRAPES
201,HFF2012,GRAPES
ICS,ICE,GRAPES
MFI,ICE/FLAME SEEDLESS,GRAPES
SG2,ICON (FireStar™),GRAPES
EVT,ICON (FireStar™)/ARRATHIRTY (ARRA SUGAR DROP™) ,GRAPES
S2E,ICON (FireStar™)/GRAPAES(EARLY SWEET™),GRAPES
S2P,ICON (FireStar™)/PRIME,GRAPES
SR2,ICON (FireStar™)/REGAL SEEDLESS,GRAPES
I53,IFG 104-253 (SWEET SUNSHINE™),GRAPES
SI3,IFG 104-253 (SWEET SUNSHINE™)/SUGRAONE,GRAPES
I77,IFG 31-077(SWEET SURRENDER™),GRAPES
I68,IFG 68-175,GRAPES
G10,IFG 68-175/IFG TEN,GRAPES
IGF,IFG 68-175/SUGRATHIRTYFIVE,GRAPES
ICI,IFG 68-175 (SWEET CELEBRATION™)/IFG TEN,GRAPES
I75,IFG 68-175 (SWEET CELEBRATION™),GRAPES
SWF,IFG 68-175 (SWEET CELEBRATION™)/ SUGRATHIRTYFIVE,GRAPES
ISX,IFG SIX,GRAPES
IF6,IFG SIX (SWEET SAPPHIRE™),GRAPES
ISE,IFG SEVEN,GRAPES
IF7,IFG SEVEN (COTTON CANDY™),GRAPES
ITR,IFG SEVEN (COTTON CANDY™)/ARRATHIRTEEN (ARRA PASSION STAR™),GRAPES
ICO,IFG SEVEN (COTTON CANDY™)/ARRAFIFTEEN (ARRA SWEETIES™),GRAPES
ISF,IFG SEVEN (COTTON CANDY™)/FLAME SEEDLESS,GRAPES
ISD,IFG SEVEN (COTTON CANDY™)/IFG 31-077 (SWEET SURRENDER™),GRAPES
ISR,IFG SEVEN (COTTON CANDY™)/IFG 68-175 (SWEET CELEBRATION™),GRAPES
TNE,IFG SEVEN (COTTON CANDY™)/IFG NINE(JACK'S SALUTE™),GRAPES
HEA,IFG SEVEN (COTTON CANDY™)/IFG NINETEEN(CANDY HEARTS™),GRAPES
ISC,IFG SEVEN (COTTON CANDY™)/IFG TWENTY (CANDY CRUNCH™),GRAPES
GCC,IFG SEVEN (COTTON CANDY™)/SUGRASIXTEEN,GRAPES
IST,IFG SEVEN (COTTON CANDY™)/SUGRATHIRTEEN,GRAPES
IF8,IFG EIGHT (SWEET ENCHANTMENT™),GRAPES
IEG,IFG EIGHT (SWEET ENCHANTMENT™)/ ARRAFIFTEEN (ARRA SWEETIES™) ,GRAPES
I8S,IFG EIGHT(SWEET ENCHANTMENT™)/IFG TEN (SWEET GLOBE,GRAPES
IEA,IFG EIGHT(SWEET ENCHANTMENT™)/SUGRATHIRTYFIVE (AUTUMNCRISP®,GRAPES
IF9,IFG NINE,GRAPES
JSL,IFG NINE (JACK’S SALUTE™),GRAPES
JSA,IFG NINE (JACK’S SALUTE™)/SUGRATHIRTYFIVE (AUTUMNCRISP®),GRAPES
ITN,IFG TEN,GRAPES
IFO,IFG TEN/CRIMSON SEEDLESS,GRAPES
TCB,IFG TEN/IFG 68-175 (SWEET CELEBRATION™) ,GRAPES
FTM,IFG TEN/SHEEGENE 13 (TIMCO™) ,GRAPES
IFC,IFG TEN/SUGRANINETEEN(SCARLOTTA SEEDLESS®),GRAPES
ITX,IFG TEN/SUGRASIXTEEN,GRAPES
I10,IFG TEN (SWEET GLOBE™),GRAPES
ITB,IFG TEN (SWEET GLOBE™)/ARRAFOURTEENONE (ARRA MYSTIC BLOOM™),GRAPES
ITP,IFG TEN (SWEET GLOBE™)/ARRATHIRTEEN (ARRA PASSION STAR™),GRAPES
IRF,IFG TEN(SWEET GLOBE™)/ARRATWENTYNINE (ARRA PASSION FIRE™),GRAPES
IBG,IFG TEN (SWEET GLOBE™)/BLAGRATWO (MELODY™),GRAPES
IFS,IFG TEN (SWEET GLOBE™)/CRIMSON SEEDLESS,GRAPES
ISW,IFG TEN (SWEET GLOBE™)/IFG 68-175 (SWEET CELEBRATION™),GRAPES
XTE,IFG TEN (SWEET GLOBE™)/IFG NINE(JACK'S SALUTE™),GRAPES
IGS,IFG TEN (SWEET GLOBE™)/IFG SIX (SWEET SAPPHIRE™),GRAPES
TYN,IFG TEN(SWEET GLOBE™)/IFG NINETEEN(CANDY HEARTS™),GRAPES
IRT,IFG TEN (SWEET GLOBE™)/RALLI SEEDLESS,GRAPES
FGS,IFG TEN (SWEET GLOBE™)/SHEEGENE 12,GRAPES
IFK,IFG TEN (SWEET GLOBE™)/SHEEGENE 12 (KRISSY™),GRAPES
FTG,IFG TEN (SWEET GLOBE™)/SHEEGEN 13,GRAPES
IGT,IFG TEN (SWEET GLOBE™)/SHEEGENE 13 (TIMCO™),GRAPES
IAN,IFG TEN (SWEET GLOBE™)/SHEEGENE 20 (ALLISON™),GRAPES
IFA,IFG TEN (SWEET GLOBE™)/STARLIGHT,GRAPES
SUI,IFG TEN (SWEET GLOBE™)/SUGRATHIRTEEN,GRAPES
IAG,IFG TEN (SWEET GLOBE™)/SUGRATHIRTYFOUR (ADORA SEEDLESS®),GRAPES
IFF,IFG TEN (SWEET GLOBE™)/SUGRAFIFTYTHREE,GRAPES
IRR,IFG TEN (SWEET GLOBE™)/SUGRAFIFTYTHREE (RUBY RUSH™) ,GRAPES
I11,IFG ELEVEN,GRAPES
IVG,IFG ELEVEN/IFG 68-175 (SWEET CELEBRATION™) ,GRAPES
SCF,IFG ELEVEN (SUGAR CRISP™),GRAPES
ICA,IFG ELEVEN (SUGAR CRISP™)/ARRATHIRTEEN (ARRA PASSION STAR™),GRAPES
FGE,IFG ELEVEN (SUGAR CRISP™)/SHEEGENE 13(TIMCO™),GRAPES
IFD,IFG ELEVEN (SUGAR CRISP™)/CRIMSON SEEDLESS,GRAPES
EVE,IFG ELEVEN (SUGAR CRISP™)/IFG 68-175 (SWEET CELEBRATION™),GRAPES
UTE,IFG ELEVEN (SUGAR CRISP™)/IFG NINE(JACK'S SALUTE™),GRAPES
NDY,IFG ELEVEN (SUGAR CRISP™)/IFG NINETEEN(CANDY HEARTS™),GRAPES
ISG,IFG ELEVEN (SUGAR CRISP™)/SUGRANINETEEN ,GRAPES
I13,IFG THIRTEEN (SWEET SECRETS™),GRAPES
RET,IFG THIRTEEN (SWEET SECRETS™)/IFG ELEVEN (SUGAR CRISP™),GRAPES
TTO,IFG THIRTEEN (SWEET SECRETS™)/IFG SEVEN (COTTON CANDY™),GRAPES
NSW,IFG THIRTEEN (SWEET SECRETS™)/IFG TEN(SWEET GLOBE™),GRAPES
I14,IFG FOURTEEN (SWEET MAYABELLE™),GRAPES
ISN ,IFG SIXTEEN,GRAPES
I16,IFG SIXTEEN (SWEET FAVORS™),GRAPES
ISB,IFG SIXTEEN(SWEET FAVORS™)/IFG TEN (SWEET GLOBE™) ,GRAPES
IAU,IFG SIXTEEN(SWEET FAVORS™)/SUGRATHIRTYFIVE ,GRAPES
IAC,IFG SIXTEEN(SWEET FAVORS™)/SUGRATHIRTYFIVE(AUTUMNCRISP®) ,GRAPES
IFV ,IFG SEVENTEEN,GRAPES
I17,IFG SEVENTEEN (SWEET JOY™),GRAPES
IOY,IFG SEVENTEEN (SWEET JOY™)/ARRAFIFTEEN (ARRA SWEETIES™),GRAPES
GSE,IFG SEVENTEEN (SWEET JOY™)/IFG SEVEN (COTTON CANDY™),GRAPES
LGT,IFG SEVENTEEN (SWEET JOY™)/ IFG TEN (SWEET GLOBE™),GRAPES
RIS,IFG SEVENTEEN (SWEET JOY™)/IFG ELEVEN (SUGAR CRISP™),GRAPES
IFR,IFG SEVENTEEN (SWEET JOY™)/REGAL SEEDLESS,GRAPES
IJY,IFG SEVENTEEN (SWEET JOY™)/SHEEGEGENE 2(TIMPSON™),GRAPES
I7J,IFG SEVENTEEN (SWEET JOY™)/SUGRAONE,GRAPES
IVE,IFG SEVENTEEN (SWEET JOY™)/SUGRATHIRTYFIVE(AUTUMNCRISP®) ,GRAPES
IWT,IFG SEVENTEEN (SWEET JOY™)/THOMPSON SEEDLESS,GRAPES
I18,IFG EIGHTEEN (SWEET NECTAR™),GRAPES
IFE,IFG EIGHTEEN (SWEET NECTAR™)/ARRAFIFTEEN(ARRA SWEETIES™),GRAPES
GRA,IFG EIGHTEEN (SWEET NECTAR™)/ARRASIXTEEN,GRAPES
ITY,IFG EIGHTEEN (SWEET NECTAR™)/ARRATHIRTY(ARRA SUGAR DROP™) ,GRAPES
UGA,IFG EIGHTEEN (SWEET NECTAR™)/IFG ELEVEN(SUGAR CRISP™),GRAPES
RRA,IFG EIGHTEEN (SWEET NECTAR™)/IFG TEN(SWEET GLOBE™),GRAPES
F19,IFG NINETEEN (CANDY HEARTS™),GRAPES
I20,IFG TWENTY (CANDY CRUNCH™),GRAPES
FTW,IFG TWENTY (CANDY CRUNCH™)/IFG ELEVEN (SUGAR CRISP™),GRAPES
TYC,IFG TWENTY (CANDY CRUNCH™)/IFG TEN(SWEET GLOBE™),GRAPES
I21,IFG TWENTY-ONE (CANDY SNAPS™),GRAPES
ITC,IFG TWENTY-TWO (CANDY DREAMS™) ,GRAPES
ICD,IFG TWENTY-THREE (CANDY DROPS™) ,GRAPES
ITT,IFG THIRTY-THREE ,GRAPES
I24,IFG TWENTY-FOUR (RUGBY™),GRAPES
I37,IFG THIRTY-SEVEN (BEBOP™) ,GRAPES
IGV,IFG THIRTY-SEVEN,GRAPES
ITA,ITALIA,GRAPES
TUM,ITUMSEVEN,GRAPES
ITM,ITUMTWELVE,GRAPES
ITU,ITUMFIFTEEN ,GRAPES
JBS,JOYBELLS,GRAPES
J15,JOYBELLS/ARRAFIFTEEN,GRAPES
JAS,JOYBELLS/ARRAFIFTEEN (ARRA SWEETIES™),GRAPES
JIC,JOYBELLS/IFG SEVEN (COTTON CANDY™),GRAPES
JSW,JOYBELLS/IFG TEN (SWEET GLOBE™),GRAPES
JST,JOYBELLS/SHEEGENE 2 (TIMPSON™),GRAPES
JSY,JOYBELLS/SHEEGENE 21 (IVORY™),GRAPES
SJO,JOYBELLS/SUGRAONE,GRAPES
JSD,JOYBELLS/SUNDANCE SEEDLESS,GRAPES
JTS,JOYBELLS/THOMPSON SEEDLESS,GRAPES
LAR,LA ROCHELLE,GRAPES
LBR,LA ROCHELLE/BARLINKA,GRAPES
LRR,LA ROCHELLE/REDGLOBE,GRAPES
LYA,LADY ANN,GRAPES
L93,LOMBARDI 93    ,GRAPES
LCA ,LUCA,GRAPES
LCS,LUCA/IFG TEN (SWEET GLOBE™),GRAPES
LSA,LUCA/SUGRATHIRTYFIVE (AUTUMNCRISP®) ,GRAPES
MAJ,MAJESTIC,GRAPES
MNS,MOONBALLS,GRAPES
MAM,MOONBALLS/ALPHONSE  LAVALLÉE,GRAPES
MDM,MOONBALLS/DAN BEN HANNAH,GRAPES
MLM,MOONBALLS/LA ROCHELLE,GRAPES
MSE,MOSCATEL SEEDLESS,GRAPES
MSB,MOSCATEL SEEDLESS (MUSCAT BEAUTY BY SAN JOSE™). ,GRAPES
MPL,MOUNTAIN PEARL,GRAPES
MDA,MUSCAT D'ALEXANDRIE BLANC,GRAPES
